2017.03.20,4
2017.03.21,8
2017.03.22,2
2017.03.23,3
2017.03.24,2
2017.03.26,1
2017.03.27,2
2017.03.28,13
2017.03.29,2
2017.03.31,2
2017.04.01,1
2017.04.03,10
2017.04.06,4
2017.04.07,3
2017.04.08,1
2017.04.09,1
2017.04.10,1
2017.04.11,3
2017.04.13,5
2017.04.14,2
2017.04.15,3
2017.04.18,4
2017.04.19,3
2017.04.20,2
2017.04.21,1
2017.04.23,1
2017.04.24,2
2017.04.25,5
2017.04.28,4
2017.04.29,6
2017.04.30,1
2017.05.01,2
2017.05.04,3
2017.05.09,1
2017.05.10,1
2017.05.12,1
2017.05.14,2
2017.05.15,1
2017.05.16,1
2017.05.17,1
2017.05.19,1
2017.05.20,3
2017.05.25,1
2017.05.27,1
2017.06.01,1
2017.06.02,5
2017.06.03,1
2017.06.07,4
2017.06.08,7
2017.06.11,1
2017.06.12,2
2017.06.15,2
2017.06.16,3
2017.06.19,5
2017.06.21,1
2017.06.24,2
2017.06.28,1
2017.06.30,3
2017.07.01,2
2017.07.02,2
2017.07.04,1
2017.07.05,1
2017.07.06,3
2017.07.07,1
2017.07.09,3
2017.07.11,2
2017.07.14,1
2017.07.17,2
2017.07.20,1
2017.07.21,1
2017.07.26,3
2017.07.27,1
2017.07.30,1
2017.07.31,11
2017.08.01,2
2017.08.02,3
2017.08.03,1
2017.08.04,1
2017.08.06,1
2017.08.08,2
2017.08.12,2
2017.08.15,3
2017.08.16,1
2017.08.17,1
2017.08.18,1
2017.08.19,1
2017.08.20,2
2017.08.21,1
2017.08.22,2
2017.08.23,1
2017.08.26,6
2017.08.27,1
2017.08.28,1
2017.08.29,1
2017.08.30,1
2017.08.31,2
2017.09.01,3
2017.09.03,1
2017.09.04,1
2017.09.06,1
2017.09.08,1
2017.09.09,1
2017.09.14,1
2017.09.15,1
2017.09.16,1
2017.09.20,1
2017.09.21,3
2017.09.22,6
2017.09.23,1
2017.09.25,9
2017.09.26,1
2017.09.27,3
2017.09.28,17
2017.09.29,2
2017.10.02,1
2017.10.04,2
2017.10.05,3
2017.10.06,2
2017.10.07,1
2017.10.09,1
2017.10.10,2
2017.10.11,11
2017.10.12,1
2017.10.17,1
2017.10.20,1
2017.10.21,1
2017.10.22,1
2017.10.24,1
2017.10.25,1
2017.10.26,1
2017.10.27,1
2017.11.01,2
2017.11.02,1
2017.11.06,1
2017.11.07,1
2017.11.09,4
2017.11.10,1
2017.11.11,2
2017.11.14,1
2017.11.19,1
2017.11.20,3
2017.11.22,1
2017.11.25,2
2017.11.29,1
2017.12.05,1
2017.12.09,1
2017.12.10,1
2017.12.11,1
2017.12.17,1
2017.12.27,3
2017.12.29,1
2017.12.31,5
2018.01.01,6
2018.01.04,1
2018.01.05,1
2018.01.06,1
2018.01.08,2
2018.01.12,3
2018.01.13,1
2018.01.15,2
2018.01.16,4
2018.01.18,2
2018.01.21,2
2018.01.22,3
2018.01.23,3
2018.01.24,1
2018.01.25,1
2018.02.06,1
2018.02.08,1
2018.02.10,3
2018.02.12,2
2018.02.14,2
2018.02.19,4
2018.02.24,1
2018.03.03,3
2018.03.05,1
2018.03.07,1
2018.03.09,1
2018.03.14,2
2018.03.18,1
2018.03.20,3
2018.03.30,1
2018.04.01,4
2018.04.02,1
2018.04.03,1
2018.04.05,1
2018.04.07,1
2018.04.08,1
2018.04.14,4
2018.04.19,1
2018.04.20,1
2018.04.21,3
2018.04.26,2
2018.05.04,1
2018.05.08,7
2018.05.09,2
2018.05.10,5
2018.05.11,6
2018.05.14,2
2018.05.15,1
2018.05.18,1
2018.05.21,1
2018.05.22,1
2018.05.23,1
2018.05.27,5
2018.05.28,1
2018.05.29,1
2018.05.31,1
2018.06.01,1
2018.06.02,7
2018.06.05,1
2018.06.08,2
2018.06.09,2
2018.06.14,1
2018.06.16,2
2018.06.19,1
2018.06.21,1
2018.06.22,4
2018.06.23,2
2018.06.25,2
2018.07.01,1
2018.07.05,4
